,team_name,away_wins,home_wins,away_losses,home_losses,total_goals_scored,total_goals_against,goal_diff,made_playoffs,total_wins
266,Los Angeles Kings,16.0,23.0,25.0,18.0,201.0,205.0,-4.0,No,39.0
267,Tampa Bay Lightning,19.0,23.0,22.0,18.0,234.0,227.0,7.0,No,42.0
271,Detroit Red Wings,16.0,17.0,25.0,24.0,207.0,244.0,-37.0,No,33.0
274,Vancouver Canucks,12.0,18.0,29.0,23.0,182.0,243.0,-61.0,No,30.0
283,New York Islanders,19.0,22.0,22.0,19.0,241.0,242.0,-1.0,No,41.0
285,Florida Panthers,16.0,19.0,25.0,22.0,210.0,237.0,-27.0,No,35.0
286,Buffalo Sabres,13.0,20.0,28.0,21.0,201.0,237.0,-36.0,No,33.0
288,Colorado Avalanche,9.0,13.0,32.0,28.0,166.0,278.0,-112.0,No,22.0
289,Dallas Stars,12.0,22.0,29.0,19.0,223.0,262.0,-39.0,No,34.0
291,Winnipeg Jets,18.0,22.0,23.0,19.0,249.0,256.0,-7.0,No,40.0
294,Carolina Hurricanes,13.0,23.0,28.0,18.0,215.0,236.0,-21.0,No,36.0
295,Arizona Coyotes,12.0,18.0,29.0,23.0,197.0,260.0,-63.0,No,30.0
302,New York Rangers,13.0,21.0,28.0,20.0,231.0,268.0,-37.0,No,34.0
304,Detroit Red Wings,14.0,16.0,27.0,25.0,217.0,255.0,-38.0,No,30.0
307,Vancouver Canucks,15.0,16.0,26.0,25.0,218.0,264.0,-46.0,No,31.0
308,Chicago Blackhawks,15.0,18.0,26.0,23.0,229.0,256.0,-27.0,No,33.0
309,Ottawa Senators,12.0,16.0,29.0,25.0,221.0,291.0,-70.0,No,28.0
310,Montreal Canadiens,11.0,18.0,30.0,23.0,209.0,264.0,-55.0,No,29.0
313,St Louis Blues,20.0,24.0,21.0,17.0,226.0,222.0,4.0,No,44.0
316,New York Islanders,16.0,19.0,25.0,22.0,264.0,296.0,-32.0,No,35.0
318,Florida Panthers,17.0,27.0,24.0,14.0,248.0,246.0,2.0,No,44.0
319,Buffalo Sabres,14.0,11.0,27.0,30.0,199.0,280.0,-81.0,No,25.0
320,Calgary Flames,20.0,17.0,21.0,24.0,218.0,248.0,-30.0,No,37.0
322,Dallas Stars,16.0,26.0,25.0,15.0,235.0,225.0,10.0,No,42.0
325,Edmonton Oilers,17.0,19.0,24.0,22.0,234.0,263.0,-29.0,No,36.0
327,Carolina Hurricanes,17.0,19.0,24.0,22.0,228.0,256.0,-28.0,No,36.0
328,Arizona Coyotes,13.0,16.0,28.0,25.0,208.0,256.0,-48.0,No,29.0
